City,Category,Country iso3,Continent 
Abidjan,LMIC,CIV,Africa
Addu,UMIC,MDV,Asia
Agneby-Tiassa,LMIC,CIV,Africa
Aguascalientes,UMIC,MEX,Latin America
Algiers,UMIC,DZA,Africa
Amparai,UMIC,LKA,Asia
Anhui,UMIC,CHN,Asia
Anuradhapura,UMIC,LKA,Asia
Atolls,UMIC,MDV,Asia
Badulla,UMIC,LKA,Asia
Bafing,LMIC,CIV,Africa
Bagoue,LMIC,CIV,Africa
Baja California Sur,UMIC,MEX,Latin America
Baja California,UMIC,MEX,Latin America
Barishal,LMIC,BGD,Asia
Batticaloa,UMIC,LKA,Asia
Beijing,UMIC,CHN,Asia
Belier,LMIC,CIV,Africa
Berat,UMIC,ALB,Europe
Bere,LMIC,CIV,Africa
Boukani,LMIC,CIV,Africa
Byo,LMIC,ZWE,Africa
Cairo,LMIC,EGY,Africa
Campeche,UMIC,MEX,Latin America
Cape Town,UMIC,ZAF,Africa
Casablanca,LMIC,MAR,Africa
Cavally,LMIC,CIV,Africa
Chiapas,UMIC,MEX,Latin America
Chihuahua,UMIC,MEX,Latin America
Chittagong,LMIC,BGD,Asia
Chongqing,UMIC,CHN,Asia
Coahuila de Zaragoza,UMIC,MEX,Latin America
Colima,UMIC,MEX,Latin America
Colombo,UMIC,LKA,Asia
Cuidad de Mexico,UMIC,MEX,Latin America
Dhaka,LMIC,BGD,Asia
Diber,UMIC,ALB,Europe
Durango,UMIC,MEX,Latin America
Durres,UMIC,ALB,Europe
Elbasan,UMIC,ALB,Europe
Erongo,UMIC,NAM,Africa
Faadhippolhu,UMIC,MDV,Asia
Felidhy Atoll,UMIC,MDV,Asia
Folon,LMIC,CIV,Africa
Fujian,UMIC,CHN,Asia
Gaborone,UMIC,BWA,Africa
Galle,UMIC,LKA,Asia
Gampaha,UMIC,LKA,Asia
Gansu,UMIC,CHN,Asia
Gauteng,UMIC,ZAF,Africa
Gbeke,LMIC,CIV,Africa
Gbokie,LMIC,CIV,Africa
Gjirokaster,UMIC,ALB,Europe
Gnaviyani,UMIC,MDV,Asia
Goh,LMIC,CIV,Africa
Gontougo,LMIC,CIV,Africa
Grand-Ponts,LMIC,CIV,Africa
Guanajuato,UMIC,MEX,Latin America
Guangdong,UMIC,CHN,Asia
Guangxi,UMIC,CHN,Asia
Guelmim,LMIC,MAR,Africa
Guemon,LMIC,CIV,Africa
Guizhou,UMIC,CHN,Asia
Ha Noi,LMIC,VNM,Asia
Hadhdhuumathi,UMIC,MDV,Asia
Hainan,UMIC,CHN,Asia
Hambantota,UMIC,LKA,Asia
Hambol,LMIC,CIV,Africa
Hardap,UMIC,NAM,Africa
Haut-Sassandra,LMIC,CIV,Africa
Hebei,UMIC,CHN,Asia
Heilongjiang,UMIC,CHN,Asia
Henan,UMIC,CHN,Asia
Hidalgo,UMIC,MEX,Latin America
Hre,LMIC,ZWE,Africa
Hubei,UMIC,CHN,Asia
Hunan,UMIC,CHN,Asia
Iffou,LMIC,CIV,Africa
Indenie-Djuablin,LMIC,CIV,Africa
Inner Mongolia,UMIC,CHN,Asia
Jaffna,UMIC,LKA,Asia
Jiangsu,UMIC,CHN,Asia
Jiangxi,UMIC,CHN,Asia
Jilin,UMIC,CHN,Asia
Kabadougou,LMIC,CIV,Africa
Kalutara,UMIC,LKA,Asia
Kandy,UMIC,LKA,Asia
Kegalla,UMIC,LKA,Asia
Keras,UMIC,NAM,Africa
Khenifra,LMIC,MAR,Africa
Khulna,LMIC,BGD,Asia
Kilinochchi,UMIC,LKA,Asia
Kolhumadulu,UMIC,MDV,Asia
Korce,UMIC,ALB,Europe
Kukes,UMIC,ALB,Europe
Kunene,UMIC,NAM,Africa
Kurunegala,UMIC,LKA,Asia
La Me,LMIC,CIV,Africa
Laayoun,LMIC,MAR,Africa
Leon,UMIC,MEX,Latin America
Lezhe,UMIC,ALB,Europe
